compound,river,date_sampled,year,result,result_unit,group
Azinphos-Methyl,Clyde River,06/15/2017 12:00:00 AM,2017,< 0.03,ng/ml,Insecticides
Methamidophos,Huntley River,10/05/2017 12:00:00 AM,2017,< 5.0,ng/ml,Insecticides
Metconazole,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.152,ng/ml,Fungicides
Imidacloprid,Clyde River,07/22/2009 12:00:00 AM,2009,< 0.1,ng/ml,Insecticides
Dimethoate,Wilmot River,08/13/2015 12:00:00 AM,2015,< 0.04,ng/ml,Insecticides
Chlorpyrifos,Clyde River,07/25/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Carbofuran,Morell River,07/19/2016 12:00:00 AM,2016,< 0.02,ng/ml,Insecticides
Azinphos-Methyl,Wilmot River,07/26/2017 12:00:00 AM,2017,< 0.03,ng/ml,Insecticides
Metalaxyl,Mill River,08/24/2017 12:00:00 AM,2017,< 0.03,ng/ml,Fungicides
Clothianidin,Mill River,08/18/2014 12:00:00 AM,2014,0.01,ng/ml,Insecticides
Hexazinone,Winter River,08/18/2014 12:00:00 AM,2014,< 0.02,ng/ml,Herbicides
Linuron,Clyde River,08/29/2012 12:00:00 AM,2012,< 0.06,ng/ml,Herbicides
Thiophanate-Methyl,Dunk River,07/24/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Metribuzin,Mill River,09/09/2014 12:00:00 AM,2014,< 0.03,ng/ml,Herbicides
Dieldrin,Mill River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Insecticides
Atrazine,Wilmot River,08/29/2012 12:00:00 AM,2012,<  0.03,ng/ml,Herbicides
Fludioxonil,Wilmot River,08/09/2012 12:00:00 AM,2012,< 0.01,ng/ml,Fungicides
Zoxamide,Clyde River,05/28/2018 12:00:00 AM,2018,< 0.502,ng/ml,Fungicides
Thiabendazole,Winter River,07/29/2014 12:00:00 AM,2014,< 0.02,ng/ml,Fungicides
Azinphos-Methyl,Mill River,07/24/2018 12:00:00 AM,2018,< 0.03,ng/ml,Insecticides
Propiconazole,West River,07/22/2013 12:00:00 AM,2013,< 0.02,ng/ml,Fungicides
Mancozeb,Clyde River,09/17/2009 12:00:00 AM,2009,< 100,ng/ml,Fungicides
Mancozeb,Clyde River,09/17/2009 12:00:00 AM,2009,< 100,ng/ml,Fungicides
Metobromuron,Huntley River,09/16/2015 12:00:00 AM,2015,< 0.03,ng/ml,Herbicides
Thiabendazole,Dunk River,09/12/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Metribuzin,Winter River,09/14/2011 12:00:00 AM,2011,< 0.03,ng/ml,Herbicides
Dimethoate,Clyde River,07/20/2017 12:00:00 AM,2017,< 0.04,ng/ml,Insecticides
Chlorothalonil,West River,07/24/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Endrin,Mill River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Insecticides
Mcpa,Clyde River,09/19/2012 12:00:00 AM,2012,< 0.5,ng/ml,Herbicides
Metribuzin,Huntley River,08/13/2015 12:00:00 AM,2015,< 0.03,ng/ml,Herbicides
Azinphos-Methyl,Clyde River,09/19/2012 12:00:00 AM,2012,< 0.03,ng/ml,Insecticides
Methamidophos,Montague River,07/29/2014 12:00:00 AM,2014,< 5.0,ng/ml,Insecticides
Alachlor,West River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Chlorantraniliprole,Huntley River,07/24/2018 12:00:00 AM,2018,0.08,ng/ml,Insecticides
Metobromuron,West River,09/18/2013 12:00:00 AM,2013,< 0.03,ng/ml,Herbicides
Phorate,Morell River,06/15/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Metribuzin,Dunk River,07/19/2016 12:00:00 AM,2016,< 0.03,ng/ml,Herbicides
Paraquat,Dunk River,08/12/2010 12:00:00 AM,2010,< 10,ng/ml,Herbicides
Azinphos-Methyl,Huntley River,06/15/2017 12:00:00 AM,2017,< 0.03,ng/ml,Insecticides
Methamidophos,Huntley River,08/24/2017 12:00:00 AM,2017,< 5.0,ng/ml,Insecticides
Thiabendazole,West River,06/26/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
